1 0.00000000000000000e+00 1.00000000000000000e+00 0.00000000000000000e+00
2 3.14159265358979256e-01 1.00000000000000000e+00 0.00000000000000000e+00
3 6.28318530717958512e-01 1.00000000000000089e+00 8.88178419700125232e-16
4 9.42477796076938046e-01 1.00000000000000111e+00 1.11022302462515654e-15
5 1.25663706143591725e+00 1.00000000000000044e+00 4.44089209850062616e-16
6 1.57079632679489656e+00 1.00000000000000067e+00 6.66133814775093924e-16
7 1.88495559215387609e+00 1.00000000000000133e+00 1.33226762955018785e-15
8 2.19911485751285518e+00 1.00000000000000067e+00 6.66133814775093924e-16
9 2.51327412287183449e+00 1.00000000000000000e+00 0.00000000000000000e+00
10 2.82743338823081380e+00 1.00000000000000000e+00 0.00000000000000000e+00
11 3.14159265358979312e+00 1.00000000000000133e+00 1.33226762955018785e-15
12 3.45575191894877287e+00 1.00000000000000133e+00 1.33226762955018785e-15
13 3.76991118430775218e+00 1.00000000000000133e+00 1.33226762955018785e-15
14 4.08407044966673105e+00 1.00000000000000133e+00 1.33226762955018785e-15
15 4.39822971502571036e+00 1.00000000000000000e+00 0.00000000000000000e+00
16 4.71238898038468967e+00 1.00000000000000000e+00 0.00000000000000000e+00
17 5.02654824574366899e+00 1.00000000000000289e+00 2.88657986402540701e-15
18 5.34070751110264919e+00 1.00000000000000555e+00 5.55111512312578270e-15
19 5.65486677646162761e+00 1.00000000000000289e+00 2.88657986402540701e-15
20 5.96902604182060692e+00 1.00000000000000000e+00 0.00000000000000000e+00
21 6.28318530717958623e+00 1.00000000000000000e+00 0.00000000000000000e+00
